N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"81,000","2,700",+3.45%,100,"4,835,524","5,969,783",55.73,"29,122,199",22.12,8.69,
2,SK하이닉스,"118,500","2,500",+2.16%,"5,000","862,683","728,002",49.65,"4,184,929",30.06,4.25,
3,삼성전자우,"73,600","1,400",+1.94%,100,"605,645","822,887",81.94,"4,194,249",20.10,N/A,
4,LG화학,"824,000","11,000",+1.35%,"5,000","581,681","70,592",42.40,"321,302",76.99,1.84,
5,삼성바이오로직스,"826,000","4,000",+0.49%,"2,500","546,523","66,165",10.46,"148,693",153.79,4.77,
6,셀트리온,"359,000","1,500",-0.42%,"1,000","484,642","134,998",21.09,"2,079,327",97.03,11.19,
7,NAVER,"292,500","9,500",+3.36%,100,"480,470","164,263",55.64,"1,185,079",58.23,10.56,
8,삼성SDI,"628,000","27,000",+4.49%,"5,000","431,841","68,765",44.36,"499,782",214.26,2.94,
9,현대차,"192,000","1,500",+0.79%,"5,000","410,243","213,668",30.53,"1,352,540",45.88,4.32,
10,카카오,"389,500","5,000",+1.30%,500,"344,460","88,437",32.17,"809,938",-432.30,-5.81,
11,삼성물산,"138,000","1,500",+1.10%,100,"257,904","186,887",14.03,"744,522",23.12,4.77,
12,LG생활건강,"1,620,000","1,000",+0.06%,"5,000","253,015","15,618",45.52,"26,138",36.30,20.32,
13,기아차,"62,400",100,+0.16%,"5,000","252,947","405,363",37.30,"1,733,947",29.00,6.50,
14,현대모비스,"255,500","4,500",+1.79%,"5,000","242,865","95,055",43.12,"469,427",15.58,7.28,
15,POSCO,"272,000","2,000",+0.74%,"5,000","237,148","87,187",50.60,"337,668",24.92,4.18,
16,LG전자,"135,000","3,500",+2.66%,"5,000","220,925","163,648",36.12,"1,507,344",29.32,0.22,
17,엔씨소프트,"931,000","18,000",+1.97%,500,"204,392","21,954",48.68,"118,558",36.43,14.72,
18,SK텔레콤,"238,000",500,+0.21%,500,"192,175","80,746",33.93,"314,686",17.53,3.92,
19,KB금융,"43,400",0,0.00%,"5,000","180,461","415,808",65.32,"2,022,285",5.29,8.92,
20,한국전력,"27,400","1,000",+3.79%,"5,000","175,898","641,964",17.13,"9,464,114",190.28,-3.42,
21,SK이노베이션,"190,000","7,000",+3.83%,"5,000","175,685","92,466",24.26,"969,553",-7.23,-0.20,
22,SK,"240,500","5,000",+2.12%,200,"169,217","70,360",21.41,"225,438","1,014.77",4.31,
23,신한지주,"32,050",50,+0.16%,"5,000","165,547","516,527",57.04,"2,299,994",4.60,9.09,
24,삼성생명,"79,100",0,0.00%,500,"158,200","200,000",11.98,"855,334",15.89,3.26,
25,LG,"87,500","1,500",+1.74%,"5,000","150,987","172,557",34.12,"550,275",12.37,5.87,
26,삼성에스디에스,"178,500","1,000",+0.56%,500,"138,119","77,378",11.50,"199,823",26.35,11.76,
27,삼성전기,"178,000","1,000",+0.56%,"5,000","132,955","74,694",34.25,"625,605",36.47,10.18,
28,SK바이오팜,"169,000","1,000",+0.60%,500,"132,349","78,313",5.13,"215,848",-153.64,-313.66,
29,아모레퍼시픽,"206,000",500,-0.24%,500,"120,424","58,458",32.24,"159,683",331.19,5.36,
30,KT&G,"83,100",200,-0.24%,"5,000","114,090","137,292",40.17,"911,173",11.59,12.39,
31,넷마블,"131,500","5,500",+4.37%,100,"112,887","85,845",22.58,"579,997",53.26,3.54,
32,하나금융지주,"34,500",400,+1.17%,"5,000","103,584","300,242",64.91,"1,893,590",4.22,8.77,
33,롯데케미칼,"276,000","11,500",+4.35%,"5,000","94,600","34,275",26.25,"386,221",81.58,5.51,
34,삼성화재,"187,500",500,-0.27%,500,"88,828","47,375",44.47,"144,011",13.71,4.85,
35,한온시스템,"16,250",300,+1.88%,100,"86,742","533,800",20.41,"1,388,039",61.79,14.98,
36,S-Oil,"69,200","1,200",+1.76%,"2,500","77,907","112,583",75.71,"285,907",-9.28,1.01,
37,한국조선해양,"108,500","1,500",+1.40%,"5,000","76,789","70,773",16.31,"306,373",359.27,1.40,
38,한화솔루션,"47,900",400,+0.84%,"5,000","76,575","159,864",19.18,"2,378,475",-85.23,-4.02,
39,고려아연,"401,500","1,500",-0.37%,"5,000","75,763","18,870",23.63,"62,119",13.53,9.76,
40,우리금융지주,"9,730",40,+0.41%,"5,000","70,277","722,268",24.86,"2,027,999",5.22,N/A,
41,현대글로비스,"184,000","5,000",+2.79%,500,"69,000","37,500",35.38,"345,699",10.34,11.25,
42,LG디스플레이,"18,550",50,-0.27%,"5,000","66,375","357,816",23.54,"3,140,611",-2.70,-22.35,
43,신풍제약,"124,000","3,500",+2.90%,500,"65,701","52,985",12.03,"3,217,211","3,444.44",0.80,
44,기업은행,"8,840",40,-0.45%,"5,000","65,298","738,664",10.04,"3,826,452",4.51,7.36,
45,포스코케미칼,"104,000","1,000",-0.95%,500,"63,428","60,988",7.36,"348,597",236.36,11.57,
46,KT,"24,000",200,-0.83%,"5,000","62,667","261,112",43.97,"2,407,819",10.23,4.61,
47,미래에셋대우,"9,440",150,+1.61%,"5,000","60,918","645,316",14.16,"2,111,827",9.86,7.56,
48,CJ제일제당,"381,000","2,000",-0.52%,"5,000","57,356","15,054",24.19,"78,636",7.91,3.16,
49,빅히트,"160,000","1,500",+0.95%,500,"56,998","35,624",3.54,"116,899",N/A,56.47,
50,KODEX 200,"39,500",815,+2.11%,0,"56,386","142,750",23.36,"11,455,254",N/A,N/A,
